# RELATÓRIOS ECONÔMICOS DOS ESTADOS UNIDOS

## VISÃO GERAL

Os dados econômicos dos EUA são os mais importantes do mundo para mercados globais, incluindo WDO e WIN. Abaixo está a lista completa organizada por categoria.

---

## 1. INFLAÇÃO

### Alta Relevância
| Indicador | Fonte | Frequência | Dia/Horário Típico |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Expectativas SUBINDO** | Desancoragem inflacionária → Fed preocupado | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 10-30 min |
| **Expectativas ESTÁVEIS** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Expectativas CAINDO** | Ancoragem → Fed mais tranquilo | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 10-30 min |

### Observações do Scalper:
- Expectativa de 5-10 anos mais importante para Fed
- Se 1 ano sobe muito mas 5-10 estável = menos preocupante
- Vem junto com Consumer Sentiment

---

## 1.10 NY FED INFLATION EXPECTATIONS
**Fonte:** NY Fed
**Divulgação:** ~Dia 10-13 do mês, 11h00 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Expectativas SUBINDO** | Consumidor espera mais inflação | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 5-15 min |
| **Expectativas ESTÁVEIS** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Expectativas CAINDO** | Alívio | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 5-15 min |

---

# 2. EMPREGO E MERCADO DE TRABALHO

## 2.1 NONFARM PAYROLLS (NFP)
**Fonte:** BLS
**Divulgação:** 1ª sexta-feira do mês, 8h30 ET (9h30 BRT)
**Impacto:** ⚡⚡⚡ MUITO ALTO (o dado mais importante do mês)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **MUITO ACIMA do consenso (+100k)** | Mercado de trabalho muito forte → Fed hawkish | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 30-120 min |
| **ACIMA do consenso (+30-100k)** | Emprego forte → menos urgência para cortar | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 15-60 min |
| **NA LINHA do consenso (±30k)** | Ver outros componentes | ⚪ Ver detalhes | ⚪ Ver detalhes | ⚪ Ver detalhes | ⚪ Ver detalhes | - |
| **ABAIXO do consenso (-30-100k)** | Emprego esfriando → Fed pode cortar | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 15-60 min |
| **MUITO ABAIXO do consenso (-100k) ou NEGATIVO** | Recessão? → Risk-off inicial, depois dovish | 🟢/🔴 Ambíguo | 🔴 inicial, 🔵 depois | 🟢/🔴 Ambíguo | 🔴 inicial | Volátil |

### Observações do Scalper:
- **REVISÕES** dos meses anteriores são muito importantes
- NFP vem com: Taxa de desemprego, Average Hourly Earnings, Participation Rate
- Se NFP forte + Wages fracos = reação mais suave
- Se NFP forte + Wages fortes = muito hawkish
- Dado MUITO fraco pode gerar pânico (risk-off) antes de virar dovish
- Private Payrolls mais relevante que Government

---

## 2.2 UNEMPLOYMENT RATE (Taxa de Desemprego)
**Fonte:** BLS
**Divulgação:** Junto com NFP
**Impacto:** ⚡⚡⚡ MUITO ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ABAIXO do consenso** (menos desemprego) | Mercado apertado → pressão salarial → hawkish | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 15-60 min |
| **NA LINHA do consenso** | Ver NFP e Wages | ⚪ Ver outros | ⚪ Ver outros | ⚪ Ver outros | ⚪ Ver outros | - |
| **ACIMA do consenso** (mais desemprego) | Mercado afrouxando → dovish | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 15-60 min |
| **SALTO grande (+0.3% ou mais)** | Sahm Rule? Recessão? → Risk-off | 🟢 Safe haven | 🔴 VENDA forte | 🟢 COMPRA | 🔴 VENDA | Pode durar dias |

### Observações do Scalper:
- **Sahm Rule:** Se unemployment sobe 0.5% da mínima em 12 meses = recessão
- Olhar **U-6** (desemprego amplo) também
- Participation Rate importa: se cai, unemployment pode cair "artificialmente"

---

## 2.3 AVERAGE HOURLY EARNINGS (Salários)
**Fonte:** BLS
**Divulgação:** Junto com NFP
**Impacto:** ⚡⚡⚡ MUITO ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Pressão salarial → inflação → hawkish | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 15-60 min |
| **NA LINHA do consenso** | Neutro | ⚪ Ver NFP | ⚪ Ver NFP | ⚪ Ver NFP | ⚪ Ver NFP | - |
| **ABAIXO do consenso** | Salários moderando → dovish | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | 🟢 COMPRA | 15-60 min |

### Observações do Scalper:
- MoM mais importante que YoY para reação
- +0.4% MoM ou mais = muito hawkish
- +0.2% MoM ou menos = dovish
- Wages podem dominar a reação mesmo com NFP neutro

---

## 2.4 LABOR FORCE PARTICIPATION RATE
**Fonte:** BLS
**Divulgação:** Junto com NFP
**Impacto:** ⚡ MÉDIO (complementar)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **SUBINDO** | Mais gente voltando → oferta de trabalho aumenta → menos pressão salarial | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | Complementar |
| **ESTÁVEL** | Neutro | ⚪ | ⚪ | ⚪ | ⚪ | - |
| **CAINDO** | Menos gente querendo trabalhar → mais pressão salarial | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | Complementar |

---

## 2.5 JOLTS (Job Openings and Labor Turnover Survey)
**Fonte:** BLS
**Divulgação:** ~Dia 1-7 do mês, 10h00 ET (11h00 BRT)
**Impacto:** ⚡⚡ ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Job Openings ACIMA** | Muita demanda por trabalho → mercado apertado | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 10-30 min |
| **Job Openings NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Job Openings ABAIXO** | Demanda esfriando → dovish | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 10-30 min |

### Observações do Scalper:
- **Quits Rate** (demissões voluntárias) muito importante
  - Quits alto = trabalhadores confiantes = pressão salarial
  - Quits baixo = trabalhadores inseguros = menos pressão
- Powell mencionou JOLTS várias vezes
- Dado defasado (2 meses), mas ainda move mercado

---

## 2.6 INITIAL JOBLESS CLAIMS (Pedidos de Seguro-Desemprego)
**Fonte:** Department of Labor (DOL)
**Divulgação:** Toda quinta-feira, 8h30 ET (9h30 BRT)
**Impacto:** ⚡⚡ MÉDIO-ALTO (semanal – muito acompanhado)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ABAIXO do consenso** (menos pedidos) | Mercado de trabalho forte | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ACIMA do consenso** (mais pedidos) | Demissões aumentando → dovish | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 10-30 min |
| **MUITO ACIMA (+50k do esperado)** | Sinal de recessão? | 🟢/🟠 Ambíguo | 🔴/🔵 Ambíguo | 🟢/🟠 Ambíguo | 🔴/🔵 Ambíguo | Volátil |

### Observações do Scalper:
- < 200k = muito forte
- 200-250k = saudável
- 250-300k = esfriando
- > 300k = preocupante
- Média de 4 semanas mais importante que semana isolada
- Continuing Claims também importa (tendência)

---

## 2.7 CONTINUING CLAIMS
**Fonte:** DOL
**Divulgação:** Junto com Initial Claims
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ABAIXO do consenso** | Pessoas achando emprego rápido | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 5-15 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ACIMA do consenso** | Pessoas demorando para achar emprego | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 🟠 VENDA (leve) | 🔵 COMPRA (leve) | 5-15 min |

---

## 2.8 ADP EMPLOYMENT REPORT
**Fonte:** ADP
**Divulgação:** 2 dias antes do NFP (quarta-feira), 8h15 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Prévia de NFP forte | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Prévia de NFP fraco | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 10-30 min |

### Observações do Scalper:
- Correlação histórica com NFP é fraca (~40%)
- Metodologia mudou em 2022, melhorou um pouco
- Mercado ainda reage, mas com ressalvas
- Pode dar falsa direção – cuidado

---

## 2.9 CHALLENGER JOB CUTS
**Fonte:** Challenger, Gray & Christmas
**Divulgação:** ~Dia 1-5 do mês, 7h30 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do período anterior** | Mais demissões anunciadas | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🐢 |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do período anterior** | Menos demissões | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🐢 |

---

## 2.10 UNIT LABOR COSTS
**Fonte:** BLS
**Divulgação:** ~5 semanas após fim do trimestre
**Impacto:** ⚡⚡ MÉDIO-ALTO (trimestral)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Custos trabalhistas subindo → inflacionário | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Produtividade compensando → desinflacionário | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 10-30 min |

---

## 2.11 PRODUCTIVITY (Nonfarm)
**Fonte:** BLS
**Divulgação:** ~5 semanas após fim do trimestre
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Economia mais eficiente → menos inflacionário | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Produtividade caindo → mais inflacionário | 🔵 COMPRA | 🟠 VENDA | 🔵 COMPRA | 🟠 VENDA | 5-20 min |

---

# 3. ATIVIDADE ECONÔMICA E PIB

## 3.1 GDP (PIB)
**Fonte:** Bureau of Economic Analysis (BEA)
**Divulgação:** 
- Advance: ~30 dias após fim do trimestre
- Second: ~60 dias
- Third (Final): ~90 dias
- 8h30 ET (9h30 BRT)
**Impacto:** ⚡⚡⚡ MUITO ALTO (principalmente Advance)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **MUITO ACIMA (+1% do consenso)** | Economia forte → Fed pode manter hawkish | 🟢 COMPRA | 🔵 COMPRA (economia boa) | 🟢 COMPRA | 🟠/🔵 Misto | 30-120 min |
| **ACIMA do consenso** | Crescimento sólido | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵/⚪ Leve | 15-60 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Desaceleração | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 15-60 min |
| **NEGATIVO ou muito fraco** | Recessão? Risk-off | 🟢 Safe haven | 🔴 VENDA | 🟢 COMPRA | 🔴 VENDA | Pode durar dias |

### Observações do Scalper:
- **GDP é backward looking** – mercado já antecipou via dados mensais
- Componentes importantes: Consumption, Investment, Government, Net Exports
- Personal Consumption (PCE dentro do GDP) é ~70% do PIB
- **GDP Price Index** também sai junto – se inflação alta dentro do GDP = hawkish
- Advance tem mais impacto que Second e Third

---

## 3.2 GDP NOW (Atlanta Fed)
**Fonte:** Atlanta Fed
**Divulgação:** Atualizado ~6x por mês (dias de dados importantes)
**Impacto:** ⚡ MÉDIO (referência contínua)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Revisão para CIMA** | Economia mais forte que esperado | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🐢 |
| **Sem mudança** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Revisão para BAIXO** | Economia mais fraca | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🐢 |

### Observações do Scalper:
- Não é dado oficial, é nowcast do Fed de Atlanta
- Muito volátil no início do trimestre
- Útil para ter referência de onde GDP deve sair

---

## 3.3 ISM MANUFACTURING PMI
**Fonte:** Institute for Supply Management (ISM)
**Divulgação:** 1º dia útil do mês, 10h00 ET (11h00 BRT)
**Impacto:** ⚡⚡⚡ MUITO ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 50 e acima do consenso** | Expansão industrial forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 15-45 min |
| **ACIMA de 50, mas abaixo do consenso** | Expansão, mas decepcionou | ⚪/🟠 Misto | ⚪/🟠 Misto | ⚪/🟠 Misto | ⚪/🟠 Misto | 10-30 min |
| **NA LINHA de 50** | Estagnação | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 50, mas acima do consenso** | Contração, mas melhor que esperado | ⚪/🔵 Misto | ⚪/🔵 Misto | ⚪/🔵 Misto | ⚪/🔵 Misto | 10-30 min |
| **ABAIXO de 50 e abaixo do consenso** | Contração industrial pior | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 15-45 min |

### Observações do Scalper:
- **50 é a linha divisória** (acima = expansão, abaixo = contração)
- Subcomponentes importantes:
  - **New Orders:** leading indicator
  - **Employment:** proxy de labor
  - **Prices Paid:** proxy de inflação
- Prices Paid alto + PMI forte = muito hawkish
- Manufacturing é só ~12% do PIB dos EUA, mas ainda move mercado

---

## 3.4 ISM SERVICES PMI
**Fonte:** ISM
**Divulgação:** 3º dia útil do mês, 10h00 ET (11h00 BRT)
**Impacto:** ⚡⚡⚡ MUITO ALTO (serviços = ~80% da economia)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 50 e acima do consenso** | Economia de serviços forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 15-45 min |
| **ACIMA de 50, mas abaixo do consenso** | Expansão mais fraca | ⚪/🟠 Misto | ⚪/🟠 Misto | ⚪/🟠 Misto | ⚪/🟠 Misto | 10-30 min |
| **NA LINHA de 50** | Estagnação | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 50 e abaixo do consenso** | Contração em serviços → muito ruim | 🟠 VENDA | 🔴 VENDA | 🟠 VENDA | 🔴 VENDA | 15-60 min |

### Observações do Scalper:
- **Mais importante que ISM Manufacturing** (serviços domina economia)
- Subcomponentes: Business Activity, New Orders, Employment, Prices
- **Prices Paid** é muito olhado para inflação de serviços
- ISM Services < 50 é evento raro e significativo

---

## 3.5 S&P GLOBAL PMI MANUFACTURING (Flash e Final)
**Fonte:** S&P Global
**Divulgação:** Flash ~dia 22-24, Final ~dia 1, 9h45 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO (Flash tem mais impacto)

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 50 e acima do consenso** | Indústria expandindo | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 50 e abaixo do consenso** | Contração | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- Flash sai antes do ISM → pode antecipar
- Metodologia diferente do ISM
- Menos peso que ISM, mas Flash ainda move mercado

---

## 3.6 S&P GLOBAL PMI SERVICES (Flash e Final)
**Fonte:** S&P Global
**Divulgação:** Flash ~dia 22-24, Final ~dia 3, 9h45 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 50 e acima do consenso** | Serviços fortes | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 50 e abaixo do consenso** | Serviços fracos | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

---

## 3.7 CHICAGO PMI
**Fonte:** ISM-Chicago
**Divulgação:** Último dia útil do mês, 9h45 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 50 e surpresa positiva** | Regional forte → pode antecipar ISM | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 5-15 min |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 50 e surpresa negativa** | Regional fraco | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 5-15 min |

---

## 3.8 EMPIRE STATE MANUFACTURING (NY Fed)
**Fonte:** NY Fed
**Divulgação:** ~Dia 15 do mês, 8h30 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 0 e acima do consenso** | NY expandindo | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 5-20 min |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 0 e abaixo do consenso** | NY contraindo | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 5-20 min |

### Observações do Scalper:
- **0 é a linha divisória** (não 50 como ISM)
- Primeiro dado regional do mês → pode definir tom
- Muito volátil, pode ter leituras extremas

---

## 3.9 PHILLY FED MANUFACTURING
**Fonte:** Philadelphia Fed
**Divulgação:** 3ª quinta-feira do mês, 8h30 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 0 e acima do consenso** | Philly expandindo | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 0 e abaixo do consenso** | Philly contraindo | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- Historicamente boa correlação com ISM
- Mais peso que Empire State
- Sai junto com Initial Claims → pode ter ruído

---

## 3.10 RICHMOND FED MANUFACTURING
**Fonte:** Richmond Fed
**Divulgação:** 4ª terça-feira do mês, 10h00 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 0 e surpresa positiva** | Regional forte | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 5-15 min |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 0 e surpresa negativa** | Regional fraco | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 5-15 min |

---

## 3.11 DALLAS FED MANUFACTURING
**Fonte:** Dallas Fed
**Divulgação:** Última segunda-feira do mês, 10h30 ET
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA de 0 e surpresa positiva** | Texas expandindo | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 🔵 COMPRA (leve) | 5-15 min |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO de 0 e surpresa negativa** | Texas contraindo | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 🟠 VENDA (leve) | 5-15 min |

---

## 3.12 KANSAS CITY FED MANUFACTURING
**Fonte:** Kansas City Fed
**Divulgação:** 4ª quinta-feira do mês, 11h00 ET
**Impacto:** ⚡ BAIXO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **Surpresa positiva** | Regional forte | ⚪/🔵 leve | ⚪/🔵 leve | ⚪/🔵 leve | ⚪/🔵 leve | 🐢 |
| **NA LINHA** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **Surpresa negativa** | Regional fraco | ⚪/🟠 leve | ⚪/🟠 leve | ⚪/🟠 leve | ⚪/🟠 leve | 🐢 |

---

## 3.13 INDUSTRIAL PRODUCTION
**Fonte:** Federal Reserve
**Divulgação:** ~Dia 15-17 do mês, 9h15 ET
**Impacto:** ⚡ MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Produção forte | 🔵 COMPRA (leve) | 🔵 COMPRA | 🔵 COMPRA (leve) | 🔵 COMPRA | 5-20 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Produção fraca | 🟠 VENDA (leve) | 🟠 VENDA | 🟠 VENDA (leve) | 🟠 VENDA | 5-20 min |

---

## 3.14 CAPACITY UTILIZATION
**Fonte:** Federal Reserve
**Divulgação:** Junto com Industrial Production
**Impacto:** ⚡ BAIXO-MÉDIO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Fábricas mais ocupadas → possível pressão inflacionária | 🔵 COMPRA (leve) | ⚪ Misto | 🔵 COMPRA (leve) | ⚪ Misto | 5-15 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Capacidade ociosa → desinflacionário | 🟠 VENDA (leve) | ⚪ Misto | 🟠 VENDA (leve) | ⚪ Misto | 5-15 min |

---

## 3.15 DURABLE GOODS ORDERS
**Fonte:** Census Bureau
**Divulgação:** ~Dia 24-28 do mês, 8h30 ET
**Impacto:** ⚡⚡ MÉDIO-ALTO

| Resultado | Interpretação Macro | DXY (USD) | S&P 500 | WDO | WIN | Duração |
|-----------|---------------------|-----------|---------|-----|-----|---------|
| **ACIMA do consenso** | Investimento forte | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 🔵 COMPRA | 10-30 min |
| **NA LINHA do consenso** | Neutro | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | ⚪ NEUTRO | - |
| **ABAIXO do consenso** | Investimento fraco | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 🟠 VENDA | 10-30 min |

### Observações do Scalper:
- **Core Capital Goods Orders (ex-defense, ex-aircraft)** é MUITO mais importante
- Headline é volátil por causa de aviões
- Core é proxy de investimento empresarial (CAPEX)

---

## 3.16 CORE CAPITAL GOODS ORDERS (ex-defense, ex-aircraft)
**Fonte:** Census Bureau
